Company Name,Date of filing,Time of filing,Document Type,File Format,File Size
1169071 BC Ltd.,Apr 25 2022,18:25:59 ET,Interim financial statements/report - English,PDF,198 K
1169071 BC Ltd.,Apr 25 2022,18:25:32 ET,MD&A - English,PDF,169 K
1169071 BC Ltd.,Apr 25 2022,18:25:02 ET,52-109FV2 - Certification of interim filings - CEO (E),PDF,72 K
1169071 BC Ltd.,Apr 25 2022,18:25:02 ET,52-109FV2 - Certification of interim filings - CFO (E),PDF,71 K
4Front Ventures Corp.,Apr 22 2022,18:28:36 ET,Other,PDF,226 K
Abacus Mining & Exploration Corporation,Apr 25 2022,17:17:47 ET,MD&A - English,PDF,431 K
Abacus Mining & Exploration Corporation,Apr 25 2022,17:16:08 ET,52-109FV1 - Certification of annual filings - CEO (E),PDF,100 K
Abacus Mining & Exploration Corporation,Apr 25 2022,17:16:08 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,103 K
Abacus Mining & Exploration Corporation,Apr 25 2022,17:15:09 ET,AB Form 13-501F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,62 K
Abacus Mining & Exploration Corporation,Apr 25 2022,17:15:09 ET,Audited annual financial statements - English,PDF,577 K
Abacus Mining & Exploration Corporation,Apr 25 2022,17:15:09 ET,ON Form 13-502F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,53 K
Acasti Pharma Inc.,Apr 25 2022,08:36:07 ET,News release - English,PDF,21 K
ACME Lithium Inc.,Apr 25 2022,09:05:27 ET,News release - English,PDF,35 K
ADCORE Inc.,Apr 25 2022,17:02:06 ET,News release - English,PDF,127 K
AEterna Zentaris Inc.,Apr 25 2022,12:31:26 ET,News release - English,PDF,480 K
"Aether Catalyst Solutions, Inc.",Apr 25 2022,20:11:59 ET,52-109FV1 - Certification of annual filings - CEO (E),PDF,517 K
"Aether Catalyst Solutions, Inc.",Apr 25 2022,20:11:59 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,514 K
"Aether Catalyst Solutions, Inc.",Apr 25 2022,20:10:56 ET,MD&A - English,PDF,245 K
"Aether Catalyst Solutions, Inc.",Apr 25 2022,20:09:52 ET,Audited annual financial statements - English,PDF,1146 K
"Aether Catalyst Solutions, Inc.",Apr 25 2022,20:09:52 ET,ON Form 13-502F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,356 K
Africa Energy Corp.,Apr 25 2022,16:24:40 ET,News release - English,PDF,147 K
AFR NuVenture Resources Inc.,Apr 25 2022,09:01:06 ET,News release - English,PDF,131 K
A-Labs Capital V Corp.,Apr 25 2022,16:53:25 ET,52-109FV1 - Certification of annual filings - CEO (E),PDF,147 K
A-Labs Capital V Corp.,Apr 25 2022,16:53:25 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,259 K
A-Labs Capital V Corp.,Apr 25 2022,16:49:51 ET,MD&A - English,PDF,239 K
A-Labs Capital V Corp.,Apr 25 2022,16:46:42 ET,AB Form 13-501F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,210 K
A-Labs Capital V Corp.,Apr 25 2022,16:46:42 ET,Audited annual financial statements - English,PDF,633 K
A-Labs Capital V Corp.,Apr 25 2022,16:46:42 ET,ON Form 13-502F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,164 K
Algoma Steel Group Inc.,Apr 25 2022,09:10:11 ET,News release - English,PDF,65 K
"Alpine Summit Energy Partners, Inc. (formerly Red Pine Petroleum Ltd.)",Apr 25 2022,19:16:31 ET,News release - English,PDF,191 K
"Alpine Summit Energy Partners, Inc. (formerly Red Pine Petroleum Ltd.)",Apr 25 2022,19:02:38 ET,MD&A - English,PDF,413 K
"Alpine Summit Energy Partners, Inc. (formerly Red Pine Petroleum Ltd.)",Apr 25 2022,19:01:37 ET,52-109FV1 - Certification of annual filings - CEO (E),PDF,101 K
"Alpine Summit Energy Partners, Inc. (formerly Red Pine Petroleum Ltd.)",Apr 25 2022,19:01:37 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,100 K
"Alpine Summit Energy Partners, Inc. (formerly Red Pine Petroleum Ltd.)",Apr 25 2022,18:59:43 ET,AB Form 13-501F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,189 K
"Alpine Summit Energy Partners, Inc. (formerly Red Pine Petroleum Ltd.)",Apr 25 2022,18:59:43 ET,Audited annual financial statements - English,PDF,1171 K
Altai Resources Inc.,Apr 25 2022,15:46:18 ET,52-109FV1 - Certification of annual filings - CEO (E),PDF,98 K
Altai Resources Inc.,Apr 25 2022,15:46:18 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,98 K
Altai Resources Inc.,Apr 25 2022,15:45:39 ET,MD&A - English,PDF,396 K
Altai Resources Inc.,Apr 25 2022,15:44:56 ET,AB Form 13-501F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,567 K
Altai Resources Inc.,Apr 25 2022,15:44:56 ET,Audited annual financial statements - English,PDF,1026 K
Altai Resources Inc.,Apr 25 2022,15:44:56 ET,Cover letter,PDF,154 K
Altai Resources Inc.,Apr 25 2022,15:44:56 ET,ON Form 13-502F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,362 K
